type,local_path,remote_path,size,md5,sha1,source_pdf,source_pages,preflight_status
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00107.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00107.jpg",694387,df07cbce457ffb4f32e677270a1e760d,9947c12667b3cc61ce9fb1b461cb10e3f698847f,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00108.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00108.jpg",573550,bb78528663a985aa27f38d02ee90c45d,e8a987f91b8b7c6e240268aaaf90360b008d271f,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00109.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00109.jpg",652804,67ac9efea03f375432e53340dceac47f,4f7c1bd3a22332797f33edcc421dbfa6bda0a6b9,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00110.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00110.jpg",739589,415a4996f5c9ad280aa7d28412c979fe,a61a70080c0a19c7e5337c7de4483d54a1c52f58,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00111.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00111.jpg",694890,2031ce3a4d98a5dd3579f5a4410c0a9a,72e864eb7a32d87c074a5165bcd755ae1832c284,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00112.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00112.jpg",664955,f17879bb12f0810c942db263923e6d4b,b5d8064d3d6bb88cd43e5a1a834686871c58cc2b,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00113.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00113.jpg",658271,711018fd0d381b533e0372ae6be55610,33b6617ee5f73002c94c7ab1681cd4459ea786ce,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00114.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00114.jpg",682342,10873ad55a26ce5741324c3fe4b50a91,d38e010010e45cf7d046ee747498d88b0318862e,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00115.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00115.jpg",638323,b478f6a1ded9725623572d82bbf3d0bc,9dc24b04f49cddee65db78ffc0cc56aeccedd4f5,,,already-present-matching
membership-image,"resources/source-cds/17-Pen-y-cae,1844-1866,LR2307/images/890__M_00116.jpg","17-Pen-y-cae,1844-1866,LR2307/images/890__M_00116.jpg",634561,b58e0cf609f615812521ed7805d44889,0a236857dca95cea6741372cd7972ee3f19045f5,,,already-present-matching
