basename,local_file_count,branch_count,branches,distinct_md5_count,paths
848__M_00085.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00085.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00085.jpg"
848__M_00086.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00086.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00086.jpg"
848__M_00087.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00087.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00087.jpg"
848__M_00088.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00088.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00088.jpg"
848__M_00089.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00089.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00089.jpg"
848__M_00090.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00090.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00090.jpg"
848__M_00091.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00091.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00091.jpg"
848__M_00092.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00092.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00092.jpg"
848__M_00093.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00093.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00093.jpg"
848__M_00094.jpg,2,2,"21-Cardiff,1847-1876,LR14167 | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records",1,"21-Cardiff,1847-1876,LR14167/Images/848__M_00094.jpg | Cardiff (1851-1867) - Donations, Expenditures, Minutes, Records/848__M_00094.jpg"
